wavelength,x_bar,y_bar,z_bar
360,0.000000122200,0.000000013398,0.000000535027
361,0.000000185138,0.000000020294,0.000000810720
362,0.00000027883,0.00000003056,0.00000122120
363,0.00000041747,0.00000004574,0.00000182870
364,0.00000062133,0.00000006805,0.00000272220
365,0.00000091927,0.00000010065,0.00000402830
366,0.00000135198,0.00000014798,0.00000592570
367,0.00000197654,0.00000021627,0.00000866510
368,0.0000028725,0.0000003142,0.0000125960
369,0.0000041495,0.0000004537,0.0000182010
370,0.0000059586,0.0000006511,0.0000261437
371,0.0000085056,0.0000009288,0.0000373300
372,0.0000120686,0.0000013175,0.0000529870
373,0.0000170226,0.0000018572,0.0000747640
374,0.000023868,0.000002602,0.000104870
375,0.000033266,0.000003625,0.000146220
376,0.000046087,0.000005019,0.000202660
377,0.000063472,0.000006907,0.000279230
378,0.000086892,0.000009449,0.000382450
379,0.000118246,0.000012848,0.000520720
380,0.000159952,0.000017364,0.000704776
381,0.000215080,0.000023327,0.000948230
382,0.00028749,0.00003115,0.00126820
383,0.00038199,0.00004135,0.00168610
384,0.00050455,0.00005456,0.00222850
385,0.00066244,0.00007156,0.00292780
386,0.00086450,0.00009330,0.00382370
387,0.00112150,0.00012087,0.00496420
388,0.00144616,0.00015564,0.00640670
389,0.00185359,0.00019920,0.00821930
390,0.0023616,0.0002534,0.0104822
391,0.0029906,0.0003202,0.0132890
392,0.0037645,0.0004024,0.0167470
393,0.0047102,0.0005023,0.0209800
394,0.0058581,0.0006232,0.0261270
395,0.0072423,0.0007685,0.0323440
396,0.0088996,0.0009417,0.0398020
397,0.0108709,0.0011478,0.0486910
398,0.0131989,0.0013903,0.0592100
399,0.0159292,0.0016740,0.0715760
400,0.0191097,0.0020044,0.0860109
401,0.022788,0.002386,0.102740
402,0.027011,0.002822,0.122000
403,0.031829,0.003319,0.144020
404,0.037278,0.003880,0.168990
405,0.043400,0.004509,0.197120
406,0.050223,0.005209,0.228570
407,0.057764,0.005985,0.263470
408,0.066038,0.006833,0.301900
409,0.075033,0.007757,0.343870
410,0.084736,0.008756,0.389366
411,0.095041,0.009816,0.437970
412,0.105836,0.010918,0.489220
413,0.117066,0.012058,0.542900
414,0.128682,0.013237,0.598810
415,0.140638,0.014456,0.656760
416,0.152893,0.015717,0.716580
417,0.165416,0.017025,0.778120
418,0.178191,0.018399,0.841310
419,0.191214,0.019848,0.906110
420,0.204492,0.021391,0.972542
421,0.217650,0.022992,1.038900
422,0.230267,0.024598,1.103100
423,0.242311,0.026213,1.165100
424,0.253793,0.027841,1.224900
425,0.264737,0.029497,1.282500
426,0.275195,0.031195,1.338200
427,0.285301,0.032927,1.392600
428,0.295143,0.034738,1.446100
429,0.304869,0.036654,1.499400
430,0.314679,0.038676,1.553480
431,0.324355,0.040792,1.607200
432,0.333570,0.042946,1.658900
433,0.342243,0.045114,1.708200
434,0.350312,0.047333,1.754800
435,0.357719,0.049602,1.798500
436,0.364482,0.051934,1.839200
437,0.370493,0.054337,1.876600
438,0.375727,0.056822,1.910500
439,0.380158,0.059399,1.940800
440,0.383734,0.062077,1.967280
441,0.386327,0.064737,1.989100
442,0.387858,0.067285,2.005700
443,0.388396,0.069764,2.017400
444,0.387978,0.072218,2.024400
445,0.386726,0.074704,2.027300
446,0.384696,0.077272,2.026400
447,0.382006,0.079979,2.022300
448,0.378709,0.082874,2.015300
449,0.374915,0.086000,2.006000
450,0.370702,0.089456,1.994800
451,0.366089,0.092947,1.981400
452,0.361045,0.096275,1.965300
453,0.355518,0.099535,1.946400
454,0.349486,0.102829,1.924800
455,0.342957,0.106256,1.900700
456,0.335893,0.109901,1.874100
457,0.328284,0.113835,1.845100
458,0.320150,0.118167,1.813900
459,0.311475,0.122932,1.780600
460,0.302273,0.128201,1.745370
461,0.292858,0.133457,1.709100
462,0.283502,0.138323,1.672300
463,0.274044,0.143042,1.634700
464,0.264263,0.147787,1.595600
465,0.254085,0.152761,1.554900
466,0.243392,0.158102,1.512200
467,0.232187,0.163941,1.467300
468,0.220488,0.170362,1.419900
469,0.208198,0.177425,1.370000
470,0.195618,0.185190,1.317560
471,0.183034,0.193025,1.262400
472,0.170222,0.200313,1.205000
473,0.157348,0.207156,1.146600
474,0.144650,0.213644,1.088000
475,0.132349,0.219940,1.030200
476,0.120584,0.226170,0.973830
477,0.109456,0.232467,0.919430
478,0.099042,0.239025,0.867460
479,0.089388,0.245997,0.818280
480,0.080507,0.253589,0.772125
481,0.072034,0.261876,0.728290
482,0.063710,0.270643,0.686040
483,0.055694,0.279645,0.645530
484,0.048117,0.288694,0.606850
485,0.041072,0.297665,0.570060
486,0.034642,0.306469,0.535220
487,0.028896,0.315035,0.502340
488,0.023876,0.323335,0.471400
489,0.019628,0.331366,0.442390
490,0.016172,0.339133,0.415254
491,0.013300,0.347860,0.390024
492,0.010759,0.358326,0.366399
493,0.008542,0.370001,0.344015
494,0.006661,0.382464,0.322689
495,0.005132,0.395379,0.302356
496,0.003982,0.408482,0.283036
497,0.003239,0.421588,0.264816
498,0.002934,0.434619,0.247848
499,0.003114,0.447601,0.232318
500,0.003816,0.460777,0.218502
501,0.005095,0.474340,0.205851
502,0.006936,0.488200,0.193596
503,0.009299,0.502340,0.181736
504,0.012147,0.516740,0.170281
505,0.015444,0.531360,0.159249
506,0.019156,0.546190,0.148673
507,0.023250,0.561180,0.138609
508,0.027690,0.576290,0.129096
509,0.032444,0.591500,0.120215
510,0.037465,0.606741,0.112044
511,0.042956,0.622150,0.104710
512,0.049114,0.637830,0.098196
513,0.055920,0.653710,0.092361
514,0.063349,0.669680,0.087088
515,0.071358,0.685660,0.082248
516,0.079901,0.701550,0.077744
517,0.088909,0.717230,0.073456
518,0.098293,0.732570,0.069268
519,0.107949,0.747460,0.065060
520,0.117749,0.761757,0.060709
521,0.127839,0.775340,0.056457
522,0.138450,0.788220,0.052609
523,0.149516,0.800460,0.049122
524,0.161041,0.812140,0.045954
525,0.172953,0.823330,0.043050
526,0.185209,0.834120,0.040368
527,0.197755,0.844600,0.037839
528,0.210538,0.854870,0.035384
529,0.223460,0.865040,0.032949
530,0.236491,0.875211,0.030451
531,0.249633,0.885370,0.028029
532,0.262972,0.895370,0.025862
533,0.276515,0.905150,0.023920
534,0.290269,0.914650,0.022174
535,0.304213,0.923810,0.020584
536,0.318361,0.932550,0.019127
537,0.332705,0.940810,0.017740
538,0.347232,0.948520,0.016403
539,0.361926,0.955600,0.015064
540,0.376772,0.961988,0.013676
541,0.391683,0.967540,0.012308
542,0.406594,0.972230,0.011056
543,0.421539,0.976170,0.009915
544,0.436517,0.979460,0.008872
545,0.451584,0.982200,0.007918
546,0.466782,0.984520,0.007030
547,0.482147,0.986520,0.006223
548,0.497738,0.988320,0.005453
549,0.513606,0.990020,0.004714
550,0.529826,0.991761,0.003988
551,0.546440,0.993530,0.003289
552,0.563426,0.995230,0.002646
553,0.580726,0.996770,0.002063
554,0.598290,0.998090,0.001533
555,0.616053,0.999110,0.001091
556,0.633948,0.999770,0.000711
557,0.651901,1.000000,0.000407
558,0.669824,0.999710,0.000184
559,0.687632,0.998850,0.000047
560,0.705224,0.997340,0.000000
561,0.722773,0.995260,0.000000
562,0.740483,0.992740,0.000000
563,0.758273,0.989750,0.000000
564,0.776083,0.986300,0.000000
565,0.793832,0.982380,0.000000
566,0.811436,0.977980,0.000000
567,0.828822,0.973110,0.000000
568,0.845879,0.967740,0.000000
569,0.862525,0.961890,0.000000
570,0.878655,0.955552,0.000000
571,0.894208,0.948601,0.000000
572,0.909206,0.940981,0.000000
573,0.923672,0.932798,0.000000
574,0.937638,0.924158,0.000000
575,0.951162,0.915175,0.000000
576,0.964283,0.905954,0.000000
577,0.977068,0.896608,0.000000
578,0.989590,0.887249,0.000000
579,1.00191,0.87799,0.00000
580,1.01416,0.86893,0.00000
581,1.02650,0.86016,0.00000
582,1.03880,0.85152,0.00000
583,1.05100,0.84296,0.00000
584,1.06290,0.83439,0.00000
585,1.07430,0.82562,0.00000
586,1.08520,0.81676,0.00000
587,1.09520,0.80754,0.00000
588,1.10420,0.79795,0.00000
589,1.11200,0.78789,0.00000
590,1.11852,0.77741,0.00000
591,1.12380,0.76649,0.00000
592,1.12800,0.75531,0.00000
593,1.13110,0.74385,0.00000
594,1.13320,0.73219,0.00000
595,1.13430,0.72035,0.00000
596,1.13430,0.70828,0.00000
597,1.13330,0.69606,0.00000
598,1.13120,0.68362,0.00000
599,1.12810,0.67105,0.00000
600,1.12399,0.65834,0.00000
601,1.11890,0.64555,0.00000
602,1.11290,0.63272,0.00000
603,1.10590,0.61982,0.00000
604,1.09800,0.60689,0.00000
605,1.08910,0.59388,0.00000
606,1.07920,0.58078,0.00000
607,1.06840,0.56765,0.00000
608,1.05670,0.55449,0.00000
609,1.04400,0.54123,0.00000
610,1.03048,0.52796,0.00000
611,1.01600,0.51463,0.00000
612,1.00080,0.50136,0.00000
613,0.984790,0.488124,0.000000
614,0.968080,0.474935,0.000000
615,0.950740,0.461834,0.000000
616,0.932800,0.448823,0.000000
617,0.914340,0.435917,0.000000
618,0.895390,0.423153,0.000000
619,0.876030,0.410526,0.000000
620,0.856297,0.398057,0.000000
621,0.836350,0.385835,0.000000
622,0.816290,0.373951,0.000000
623,0.796050,0.362311,0.000000
624,0.775610,0.350863,0.000000
625,0.754930,0.339554,0.000000
626,0.733990,0.328309,0.000000
627,0.712780,0.317118,0.000000
628,0.691290,0.305936,0.000000
629,0.669520,0.294737,0.000000
630,0.647467,0.283493,0.000000
631,0.625110,0.272222,0.000000
632,0.602520,0.260990,0.000000
633,0.579890,0.249877,0.000000
634,0.557370,0.238946,0.000000
635,0.535110,0.228254,0.000000
636,0.513240,0.217853,0.000000
637,0.491860,0.207780,0.000000
638,0.471080,0.198072,0.000000
639,0.450960,0.188748,0.000000
640,0.431567,0.179828,0.000000
641,0.412870,0.171285,0.000000
642,0.394750,0.163059,0.000000
643,0.377210,0.155151,0.000000
644,0.360190,0.147535,0.000000
645,0.343690,0.140211,0.000000
646,0.327690,0.133170,0.000000
647,0.312170,0.126400,0.000000
648,0.297110,0.119892,0.000000
649,0.282500,0.113640,0.000000
650,0.268329,0.107633,0.000000
651,0.254590,0.101870,0.000000
652,0.241300,0.096347,0.000000
653,0.228480,0.091063,0.000000
654,0.216140,0.086010,0.000000
655,0.204300,0.081187,0.000000
656,0.192950,0.076583,0.000000
657,0.182110,0.072198,0.000000
658,0.171770,0.068024,0.000000
659,0.161920,0.064052,0.000000
660,0.152568,0.060281,0.000000
661,0.143670,0.056697,0.000000
662,0.135200,0.053292,0.000000
663,0.127130,0.050059,0.000000
664,0.119480,0.046998,0.000000
665,0.112210,0.044096,0.000000
666,0.105310,0.041345,0.000000
667,0.0987860,0.0387507,0.0000000
668,0.0926100,0.0362978,0.0000000
669,0.0867730,0.0339832,0.0000000
670,0.0812606,0.0318004,0.0000000
671,0.0760480,0.0297395,0.0000000
672,0.0711140,0.0277918,0.0000000
673,0.0664540,0.0259551,0.0000000
674,0.0620620,0.0242263,0.0000000
675,0.0579300,0.0226017,0.0000000
676,0.0540500,0.0210779,0.0000000
677,0.0504120,0.0196505,0.0000000
678,0.0470060,0.0183153,0.0000000
679,0.0438230,0.0170686,0.0000000
680,0.0408508,0.0159051,0.0000000
681,0.0380720,0.0148183,0.0000000
682,0.0354680,0.0138008,0.0000000
683,0.0330310,0.0128495,0.0000000
684,0.0307530,0.0119607,0.0000000
685,0.0286230,0.0111303,0.0000000
686,0.0266350,0.0103555,0.0000000
687,0.0247810,0.0096332,0.0000000
688,0.0230520,0.0089599,0.0000000
689,0.0214410,0.0083324,0.0000000
690,0.0199413,0.0077488,0.0000000
691,0.0185440,0.0072046,0.0000000
692,0.0172410,0.0066975,0.0000000
693,0.0160270,0.0062251,0.0000000
694,0.0148960,0.0057850,0.0000000
695,0.0138420,0.0053751,0.0000000
696,0.0128620,0.0049941,0.0000000
697,0.0119490,0.0046392,0.0000000
698,0.0111000,0.0043093,0.0000000
699,0.0103110,0.0040028,0.0000000
700,0.00957688,0.00371774,0.00000000
701,0.00889400,0.00345262,0.00000000
702,0.00825810,0.00320583,0.00000000
703,0.00766640,0.00297623,0.00000000
704,0.00711630,0.00276281,0.00000000
705,0.00660520,0.00256456,0.00000000
706,0.00613060,0.00238048,0.00000000
707,0.00569030,0.00220971,0.00000000
708,0.00528190,0.00205132,0.00000000
709,0.00490330,0.00190449,0.00000000
710,0.00455263,0.00176847,0.00000000
711,0.00422750,0.00164236,0.00000000
712,0.00392580,0.00152535,0.00000000
713,0.00364570,0.00141672,0.00000000
714,0.00338590,0.00131595,0.00000000
715,0.00314470,0.00122239,0.00000000
716,0.00292080,0.00113555,0.00000000
717,0.00271300,0.00105494,0.00000000
718,0.00252020,0.00098014,0.00000000
719,0.00234110,0.00091066,0.00000000
720,0.00217496,0.00084619,0.00000000
721,0.00202060,0.00078629,0.00000000
722,0.00187730,0.00073068,0.00000000
723,0.00174410,0.00067899,0.00000000
724,0.00162050,0.00063101,0.00000000
725,0.00150570,0.00058644,0.00000000
726,0.00139920,0.00054511,0.00000000
727,0.00130040,0.00050672,0.00000000
728,0.00120870,0.00047111,0.00000000
729,0.00112360,0.00043805,0.00000000
730,0.00104476,0.00040741,0.00000000
731,0.000971560,0.000378962,0.000000000
732,0.000903600,0.000352543,0.000000000
733,0.000840480,0.000328001,0.000000000
734,0.000781870,0.000305208,0.000000000
735,0.000727450,0.000284041,0.000000000
736,0.000676900,0.000264375,0.000000000
737,0.000629960,0.000246109,0.000000000
738,0.000586370,0.000229143,0.000000000
739,0.000545870,0.000213376,0.000000000
740,0.000508258,0.000198730,0.000000000
741,0.000473300,0.000185115,0.000000000
742,0.000440800,0.000172454,0.000000000
743,0.000410580,0.000160678,0.000000000
744,0.000382490,0.000149730,0.000000000
745,0.000356380,0.000139550,0.000000000
746,0.000332110,0.000130086,0.000000000
747,0.000309550,0.000121290,0.000000000
748,0.000288580,0.000113106,0.000000000
749,0.000269090,0.000105501,0.000000000
750,0.000250969,0.000098428,0.000000000
751,0.000234130,0.000091853,0.000000000
752,0.000218470,0.000085738,0.000000000
753,0.000203910,0.000080048,0.000000000
754,0.000190350,0.000074751,0.000000000
755,0.000177730,0.000069819,0.000000000
756,0.000165970,0.000065222,0.000000000
757,0.000155020,0.000060939,0.000000000
758,0.000144800,0.000056942,0.000000000
759,0.000135280,0.000053217,0.000000000
760,0.000126390,0.000049737,0.000000000
761,0.000118100,0.000046491,0.000000000
762,0.000110370,0.000043464,0.000000000
763,0.000103150,0.000040635,0.000000000
764,0.0000964270,0.0000380000,0.0000000000
765,0.0000901510,0.0000355405,0.0000000000
766,0.0000842940,0.0000332448,0.0000000000
767,0.0000788300,0.0000311006,0.0000000000
768,0.0000737290,0.0000290990,0.0000000000
769,0.0000689690,0.0000272307,0.0000000000
770,0.0000645258,0.0000254860,0.0000000000
771,0.0000603760,0.0000238561,0.0000000000
772,0.0000565000,0.0000223332,0.0000000000
773,0.0000528800,0.0000209104,0.0000000000
774,0.0000494980,0.0000195808,0.0000000000
775,0.0000463390,0.0000183384,0.0000000000
776,0.0000433890,0.0000171777,0.0000000000
777,0.0000406340,0.0000160934,0.0000000000
778,0.0000380600,0.0000150800,0.0000000000
779,0.0000356570,0.0000141336,0.0000000000
780,0.0000334117,0.0000132490,0.0000000000
781,0.0000313150,0.0000124226,0.0000000000
782,0.0000293550,0.0000116499,0.0000000000
783,0.0000275240,0.0000109277,0.0000000000
784,0.0000258110,0.0000102519,0.0000000000
785,0.0000242090,0.0000096196,0.0000000000
786,0.0000227110,0.0000090281,0.0000000000
787,0.0000213080,0.0000084740,0.0000000000
788,0.0000199940,0.0000079548,0.0000000000
789,0.0000187640,0.0000074686,0.0000000000
790,0.0000176115,0.0000070128,0.0000000000
791,0.0000165320,0.0000065858,0.0000000000
792,0.0000155210,0.0000061857,0.0000000000
793,0.0000145740,0.0000058107,0.0000000000
794,0.0000136860,0.0000054590,0.0000000000
795,0.0000128550,0.0000051298,0.0000000000
796,0.0000120750,0.0000048206,0.0000000000
797,0.0000113450,0.0000045312,0.0000000000
798,0.0000106590,0.0000042591,0.0000000000
799,0.0000100170,0.0000040042,0.0000000000
800,0.00000941363,0.00000376473,0.00000000000
801,0.00000884790,0.00000353995,0.00000000000
802,0.00000831710,0.00000332914,0.00000000000
803,0.00000781900,0.00000313115,0.00000000000
804,0.00000735160,0.00000294529,0.00000000000
805,0.00000691300,0.00000277081,0.00000000000
806,0.00000650150,0.00000260705,0.00000000000
807,0.00000611530,0.00000245329,0.00000000000
808,0.00000575290,0.00000230894,0.00000000000
809,0.00000541270,0.00000217338,0.00000000000
810,0.00000509347,0.00000204613,0.00000000000
811,0.00000479380,0.00000192662,0.00000000000
812,0.00000451250,0.00000181440,0.00000000000
813,0.00000424830,0.00000170895,0.00000000000
814,0.00000400020,0.00000160988,0.00000000000
815,0.00000376710,0.00000151677,0.00000000000
816,0.00000354800,0.00000142921,0.00000000000
817,0.00000334210,0.00000134686,0.00000000000
818,0.00000314850,0.00000126945,0.00000000000
819,0.00000296650,0.00000119662,0.00000000000
820,0.00000279531,0.00000112809,0.00000000000
821,0.00000263450,0.00000106368,0.00000000000
822,0.00000248340,0.00000100313,0.00000000000
823,0.00000234140,0.00000094622,0.00000000000
824,0.00000220780,0.00000089263,0.00000000000
825,0.00000208200,0.00000084216,0.00000000000
826,0.00000196360,0.00000079464,0.00000000000
827,0.00000185190,0.00000074978,0.00000000000
828,0.00000174650,0.00000070744,0.00000000000
829,0.00000164710,0.00000066748,0.00000000000
830,0.00000155314,0.00000062970,0.00000000000
